"filename", "language", "JavaScript", "JavaScript React", "CSS", "comment", "blank", "total"
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/Clock.jsx", "JavaScript React", 0, 31, 0, 0, 6, 37
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/Menu.jsx", "JavaScript React", 0, 125, 0, 0, 11, 136
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/NavBar.jsx", "JavaScript React", 0, 81, 0, 0, 4, 85
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/ReservationList.jsx", "JavaScript React", 0, 153, 0, 0, 13, 166
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/TableSelect.jsx", "JavaScript React", 0, 41, 0, 0, 6, 47
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/components/Title.jsx", "JavaScript React", 0, 7, 0, 0, 3, 10
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/error-page.jsx", "JavaScript React", 0, 27, 0, 0, 4, 31
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/index.css", "CSS", 0, 0, 31, 0, 6, 37
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/index.jsx", "JavaScript React", 0, 62, 0, 0, 3, 65
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/add/addOrder.jsx", "JavaScript React", 0, 143, 0, 0, 21, 164
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/delete/deleteReservation.jsx", "JavaScript React", 0, 6, 0, 0, 2, 8
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/edit/editReservation.jsx", "JavaScript React", 0, 118, 0, 0, 15, 133
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/index.jsx", "JavaScript React", 0, 58, 0, 0, 3, 61
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/orders.jsx", "JavaScript React", 0, 25, 0, 0, 4, 29
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/reservations.jsx", "JavaScript React", 0, 48, 0, 0, 7, 55
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/routes/root.jsx", "JavaScript React", 0, 29, 0, 0, 3, 32
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/store/orderSlice.js", "JavaScript", 26, 0, 0, 1, 6, 33
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/store/store.js", "JavaScript", 5, 0, 0, 0, 2, 7
"/Users/adamnemeth/MyDev2022/szakdolgozat/client/src/utils/api.js", "JavaScript", 46, 0, 0, 0, 9, 55
"Total", "-", 77, 954, 31, 1, 128, 1191